,0
GB_base__mean_acc,0.9953965517241379
GB_base__mean_bacc,0.8319672873014807
GB_base__mean_f1m,0.7411411660089946
GB_base__mean_f1w,0.9962614516916111
GB_base__mean_rare,0.7073109243697479
GB_base__mean_f1x1,0.6984469745089067
GB_base__std_acc,0.0007628214415734117
GB_base__std_bacc,0.1049782119717097
GB_base__std_f1m,0.06863762506350125
GB_base__std_f1w,0.0005551998253667584
GB_base__std_rare,0.1837067562942064
GB_base__std_f1x1,0.08004245622884403
GB_SMOTE__mean_acc,0.9949655172413794
GB_SMOTE__mean_bacc,0.8205143547503676
GB_SMOTE__mean_f1m,0.7313301922226404
GB_SMOTE__mean_f1w,0.9959481744135253
GB_SMOTE__mean_rare,0.6873389355742296
GB_SMOTE__mean_f1x1,0.6870430658473704
GB_SMOTE__std_acc,0.0009256710134859312
GB_SMOTE__std_bacc,0.07418924671232202
GB_SMOTE__std_f1m,0.05769383950920351
GB_SMOTE__std_f1w,0.000632490991311645
GB_SMOTE__std_rare,0.12996550274190943
GB_SMOTE__std_f1x1,0.06728300813098792
RF_cw__mean_acc,0.9965172413793104
RF_cw__mean_bacc,0.7364291117987544
RF_cw__mean_f1m,0.7157459346521137
RF_cw__mean_f1w,0.9968986303278017
RF_cw__mean_rare,0.5396358543417368
RF_cw__mean_f1x1,0.6686960661156991
RF_cw__std_acc,0.0005737779755963416
RF_cw__std_bacc,0.04405393823794172
RF_cw__std_f1m,0.048389221571876966
RF_cw__std_f1w,0.0004615805202854987
RF_cw__std_rare,0.07704931977822388
RF_cw__std_f1x1,0.05644119874171455
